Image Path,Caption,coco Generated Caption 0,coco Score 0,coco Generated Caption 1,coco Score 1,coco Generated Caption 2,coco Score 2,coco Generated Caption 3,coco Score 3,coco Generated Caption 4,coco Score 4,coco Generated Caption 5,coco Score 5,coco Generated Caption 6,coco Score 6,coco Generated Caption 7,coco Score 7,coco Generated Caption 8,coco Score 8,coco Generated Caption 9,coco Score 9,conceptual Generated Caption 0,conceptual Score 0,conceptual Generated Caption 1,conceptual Score 1,conceptual Generated Caption 2,conceptual Score 2,conceptual Generated Caption 3,conceptual Score 3,conceptual Generated Caption 4,conceptual Score 4,conceptual Generated Caption 5,conceptual Score 5,conceptual Generated Caption 6,conceptual Score 6,conceptual Generated Caption 7,conceptual Score 7,conceptual Generated Caption 8,conceptual Score 8,conceptual Generated Caption 9,conceptual Score 9
dataset/coco/images/tmp/COCO_val2014_000000391895.jpg,A man with a red helmet on a small moped on a dirt road. ,A man on a motor bike riding down a dirt road.,0.32075846,A man riding on the back of a motorcycle.,0.2983123,A man riding a motorcycle on top of a dirt road.,0.31912905,A man riding a motorcycle on a dirt road.,0.31623513,A man riding on the back of a motorcycle.,0.2983123,A man riding a motorcycle with a bag on the back.,0.29322588,A man riding a motorcycle down a dirt road.,0.31629628,A man riding a motorcycle down a dirt road.,0.31629628,A man riding a motorcycle with a backpack on the back.,0.2946543,A man riding a motorcycle down a dirt road.,0.31629628,the road to person and the town.,0.26424256,person riding his motorcycle through the mountains.,0.2887889,person riding a motorcycle on a road.,0.27143204,a motorcyclist rides along a road.,0.29746515,the road to a city.,0.25319082,a man on a motorcycle.,0.28310907,a man on a motorbike.,0.2938256,we had to make a trip to the other side of the mountain.,0.23337731,riding a motorcycle along the mountain road.,0.30157885,a man rides his motorcycle on the road.,0.29352105
dataset/coco/images/tmp/COCO_val2014_000000060623.jpg,A young girl inhales with the intent of blowing out a candle. ,A girl with a candle in her mouth in front of a cake.,0.35328287,A girl eating a cake with candles in her mouth.,0.37657422,A woman with a candle in her mouth is eating cake.,0.3157641,A woman sitting at a table with a plate of food in front of her.,0.26815903,A girl blowing out a candle on a cake.,0.33735582,A woman eating a piece of cake next to a little girl.,0.2939181,A girl is sitting at a table and eating cake.,0.2905318,A woman is putting a candle into a cake.,0.30127922,A woman holding a fork with a cake in front of her.,0.29271787,A girl is eating a cake with candles.,0.34806448,the girl with the lantern.,0.25973594,my daughter enjoying a lighted candle inside the bowl.,0.33528906,person is the first to eat the food.,0.2764812,person and i are both getting hungry.,0.22777018,eating a meal with my sister.,0.26227993,a child eats a piece of cake.,0.28632838,the girl eats a cake with her mother.,0.2860944,person with the - little cakes.,0.25205928,this is what the food looks like when i first started cooking.,0.24496156,person and i trying out the lanterns at the restaurant.,0.27117038
dataset/coco/images/tmp/COCO_val2014_000000483108.jpg,A man on a bicycle riding next to a train,A man walking next to a train on the tracks.,0.31115273,A man walking by a train with a bicycle.,0.322315,A man standing on the platform next to a train.,0.32366553,A man walking next to a red train.,0.32350302,A man standing next to a train at a train station.,0.32756203,A man walking past a train on a train track.,0.30401397,A man is walking by a train that is parked.,0.30460048,A man standing next to a train in a train station.,0.3190729,A man walking past a train on a train track.,0.30401397,A man standing in front of a red train.,0.33046204,train arriving at the station.,0.306814,train at the train station.,0.29462838,the train pulls into a station.,0.28623766,a passenger in a train.,0.28488806,person arriving at the station.,0.30018452,person arriving at the station.,0.30018452,the train stopped at the station.,0.2886039,train station is the second largest city.,0.28379083,a train arrives at a station.,0.30997014,passengers waiting for a train.,0.28549996
dataset/coco/images/tmp/COCO_val2014_000000384213.jpg,A kitchen is shown with a variety of items on the counters.,A kitchen counter with a bowl of fruit on it.,0.262768,A kitchen with a window and a sink.,0.3473643,"A kitchen with a stove, sink and a window.",0.3526889,A kitchen counter with a basket and a dish rack.,0.32281676,"A kitchen with a sink, stove, microwave and refrigerator.",0.34461975,"A kitchen with a stove, sink and a window.",0.3526889,"A kitchen with a stove, sink and window.",0.35400587,A kitchen with a sink and a window.,0.34491435,A kitchen sink and a window in a room.,0.3254605,"A kitchen with a stove, sink and a window.",0.3526889,the kitchen is fully stocked with all the essentials you need to cook a meal.,0.2733578,a city for sale property.,0.22600633,industry : kitchen from the kitchen.,0.28204703,a view of the kitchen.,0.34065348,kitchen - the stove is installed.,0.30819872,the kitchen in the log cabin.,0.32923594,"property image # old farm from the 19th century, completely renovated in a village.",0.24414459,a city for sale property.,0.22600633,the kitchen is fully stocked with everything you need to cook a meal.,0.2867751,the kitchen was recently restored to its original glory and is now a work in progress.,0.32470405
dataset/coco/images/tmp/COCO_val2014_000000386164.jpg,A wooden ball on top of a wooden stick.,A row of wooden stalks with many wooden spoons on them.,0.32828987,A group of wooden cutting boards with wooden spoons.,0.32997787,A row of wooden stalks with a wooden spoon in each of them.,0.33787897,A large collection of wooden spoons on a wooden floor.,0.350068,A row of wooden stools with wooden spoons on them.,0.28911424,A wooden table topped with lots of wooden cutting boards.,0.2650708,A row of wooden stalks with wooden spoons on them.,0.32425827,A row of wooden cutting boards topped with wooden spoons.,0.32420105,A large number of wooden kitchen utensils on a table.,0.34417635,A wooden table topped with lots of wooden cutting boards.,0.2650708,the tools of the trade.,0.24405302,"wooden spoons, they're a part of the collection.",0.31758946,the wood is cut in a traditional way.,0.28531402,the various wooden spoons and tools in the workshop.,0.33317798,a selection of wood and metal tools.,0.28203076,a row of woodworking tools.,0.28672326,a collection of wood carving tools.,0.29868892,wooden spoon on the table.,0.28793305,a set of wooden spoons on a wooden table.,0.32201573,wooden spoons and spoons in a row -- stock photo #.,0.3351599
dataset/coco/images/tmp/COCO_val2014_000000223648.jpg,Multiple wooden spoons are shown on a table top.,A table with many wooden utensils on it.,0.35414606,A kitchen table with several wooden dishes on it.,0.31799713,A table with a variety of wooden utensils on it.,0.35667607,A table with a lot of wooden utensils on it.,0.33587033,A table with many wooden cutting boards and utensils.,0.3303827,A collection of wooden utensils sitting on top of a table.,0.3546934,A dining table with a variety of wooden utensils.,0.36312738,A dining table with many wooden cutting boards.,0.3258318,A table with several wooden cutting boards and knives.,0.32083982,A wooden table topped with lots of wooden utensils.,0.34917164,a desk made from wood.,0.26265278,it's not a home without a kitchen.,0.25049865,a set of wooden kitchen utensils.,0.34553033,you've probably seen this on the dining room table in your school.,0.29189092,kitchen : from the collection of person.,0.27355227,what a cool idea for a desk.,0.27378613,the table of the week.,0.25953633,we have a selection of tools and supplies available in our workshop.,0.27171907,kitchen table with a wooden handle.,0.31219354,i would love to do this with my kitchen table.,0.31611347
dataset/coco/images/tmp/COCO_val2014_000000403385.jpg,A bathroom that has a broken wall in the shower.,A bathroom with a white toilet next to a white sink.,0.31668222,A white bathroom with a shower and toilet.,0.3373629,"A bathroom with a shower, sink and toilet.",0.32894605,A bathroom with a white toilet next to a shower.,0.32923886,"A bathroom with a shower, toilet, and sink.",0.3177154,A bathroom with a toilet and a sink.,0.30292842,A bathroom with a white toilet next to a white sink.,0.31668222,"A white bathroom with a sink, toilet and shower.",0.3342456,"A white bathroom with a toilet, shower, and sink.",0.32828784,"A bathroom with a sink, toilet and shower.",0.32064557,one of the bathrooms in the apartment.,0.3022192,the toilet is a little smaller than the one on the right.,0.28995198,a bathroom with a shower and toilet.,0.32595074,a city for sale property.,0.21093877,example of a minimalist bathroom design.,0.30957913,there is a small bathroom in the second floor.,0.2904414,the bathroom in the main house.,0.30541337,a small bathroom on the first floor.,0.31919664,a small bathroom in a small apartment.,0.3063544,toilet in the bathroom of a-star hotel.,0.28607422
dataset/coco/images/tmp/COCO_val2014_000000294832.jpg,A bathroom with an enclosed shower next to a sink and a toilet.,A bathroom with a standup shower and a sink.,0.31060418,"A bathroom with a toilet, sink, and mirror.",0.28690696,A bathroom with a glass shower stall and a sink.,0.31365317,"A bathroom with a shower, toilet, and sink.",0.30044845,A bathroom with a glass shower door and a sink.,0.30968878,A large bathroom with a sink and a shower.,0.30300033,"A bathroom with a toilet, a tub, and a shower.",0.3027806,A bathroom with a stand alone shower and a wooden cabinet.,0.33116752,A large bathroom with a large tub and a toilet.,0.30395836,"A bathroom with a sink, toilet, and shower.",0.29136986,the bathrooms are also fitted with a shower and toilet.,0.29377246,the bathroom in the attic.,0.2799023,example of a trendy bathroom design with a vessel sink.,0.3103445,a bathroom in the newly renovated home.,0.29869568,example of a trendy bathroom design with a vessel sink.,0.3103445,the bathroom has a sauna with a shower and tub.,0.30988583,example of a minimalist bathroom design.,0.29863778,"the bathroom, which is adjacent to the main house, has a shower and a sauna.",0.31173426,example of a minimalist bathroom design.,0.29863778,a bathroom with a shower and toilet.,0.30657005
dataset/coco/images/tmp/COCO_val2014_000000462565.jpg,people on bicycles ride down a busy street ,A group of people riding bicycles down a street.,0.28588945,A group of people riding bicycles down a street.,0.28588945,A group of people riding bicycles down a street.,0.28588945,A group of people riding bikes down a street.,0.27870417,A group of people riding bikes down a city street.,0.28436965,A group of people riding bicycles down a street.,0.28588945,A group of people on bikes and skateboards in the street.,0.28860718,People on bicycles and skateboards are on a busy city street.,0.29593986,A group of people on bikes riding down a street.,0.27751347,A group of people riding bikes down a street.,0.27870417,the bike lanes are set to go into effect.,0.31438354,bike lanes were added to the route.,0.3066062,the bike lanes are so common that the city has installed a program.,0.31338573,"a bike lane, on the corner.",0.2987088,cyclists have been slow to take advantage of the new bike lanes.,0.31100643,cyclists make their way through the intersection.,0.30811015,the bike lanes are now closed.,0.2773859,cyclists ride on the sidewalk.,0.30437714,an artist's impression of a bike lane.,0.30255473,an artist's impression of the bike lane.,0.30020964
dataset/coco/images/tmp/COCO_val2014_000000436141.jpg,The bathroom is clean and ready to be used. ,"A bathroom with a sink, mirror and toilet.",0.2939818,A bathroom with a toilet and sink in it.,0.29470527,"A bathroom with a toilet, sink, and mirror.",0.29540515,"A bathroom with a sink, mirror and toilet.",0.2939818,"A bathroom with a sink, mirror, and toilet.",0.29645103,"A bathroom with a sink, toilet, mirror and a shower.",0.2905895,"A bathroom with a sink, toilet, and mirror.",0.2959875,"A bathroom with a sink, toilet and mirror.",0.29308107,"A bathroom with a sink, toilet and a mirror.",0.28845122,"A bathroom with a sink, toilet, and shower.",0.30060938,the master bathroom has been restored and is now the focal point of the home.,0.31294802,this bathroom is what i call a dark brown.,0.27817613,the bathroom in the master suite.,0.30498543,the bathroom in the cottage.,0.3080934,a bathroom in the house.,0.3019387,the bathroom of the unit.,0.30192566,bathroom with a built in sink.,0.28497785,bathroom in the downstairs guest room.,0.28820777,example of a classic bathroom design.,0.31710982,"the bathroom, with new wallpaper installed.",0.33133832
